Varcode,Variables,NewVarcode
ER30001,1968 INTERVIEW NUMBER,INTERVIEW NUMBER.68
V1,RELEASE NUMBER,RELEASE NUMBER.68
V3,FAMILY NUMBER,FAMILY NUMBER.68
V5,HOUSE VALUE,HOUSE VALUE.68
V10,YRLY RENT PAYTS,ANNUAL RENT PAYMENT.68
V12,YRLY RENT VALUE,ANNUAL RENT VALUE.68
V47,YRLY HEADS HRS,ANNUAL HOURS WORKED HEAD.68
V53,YRLY WIFE HRS,ANNUAL HOURS WORKED WIFE.68
V59,H& W HOUSEWORK,HOUSEHOLD HOUSEWORK HOURS.68
V73,LEISURE HRS/M.A.,LEISURE HOURS.68
V74,HDS LABOR INCOME,LABOR INCOME HEAD.68
V75,WIFE LBR INCOME,LABOR INCOME WIFE.68
V93,STATE (68),STATE.68
V103,OWN OR RENT,RENT/OWN STATUS.68
V117,AGE OF HEAD,AGE HEAD.68
V118,AGE OF WIFE,AGE WIFE.68
V119,SEX OF HEAD,SEX HEAD.68
V181,RACE,RACE.68
V197_A,OCCUPATION OF HEAD         68,OCCUPATION HEAD.68
V197_B,INDUSTRY   OF HEAD         68,INDUSTRY HEAD.68
V239,MARITAL STATUS,MARITAL STATUS.68
V243_A,OCCUPATION OF WIFE         68,OCCUPATION WIFE.68
V243_B,INDUSTRY   OF WIFE         68,INDUSTRY WIFE.68
V246,WIFES EDUCATION,EDUCATION WIFE.68
V261,ALIMONY,HOUSEHOLD ALIMONY BRACKET.68
V313,HEADS EDUCATION,EDUCATION HEAD.68
V314,HD OTHER TRAINING,OTHER TRAINING HEAD.68
V363,GEO. MOBILITY,MOBILITY.68
V398,NUMBER OF CHILDREN,CHILDREN COUNT.68
V439,1968 WEIGHT,FAMILY WEIGHT.68
ER30003,RELATIONSHIP TO HEAD                  68,RELATION TO HEAD.68
ER30004,AGE OF INDIVIDUAL                     68,AGE.68
ER30005,MARR PAIRS INDICATOR                  68,MARITAL PAIRS INDICATORS.68
ER30008,YEAR MOVED IN                         68,YEAR MOVED IN/OUT.68
ER30019,INDIVIDUAL WEIGHT                     68,INDIVIDUAL WEIGHT.68
V441,RELEASE NUMBER,RELEASE NUMBER.69
V442,1969 INT NUMBER,FAMILY NUMBER.69
V449,HOUSE VALUE,HOUSE VALUE.69
V455,ANNUAL RENT PYTS,ANNUAL RENT PAYMENT.69
V457,ANNUAL RENT VAL,ANNUAL RENT VALUE.69
V465,HRS HEAD WORKED,ANNUAL HOURS WORKED HEAD.69
V475,HRS WIFE WORKED,ANNUAL HOURS WORKED WIFE.69
V481,HRS HSWRK 1ST.,HOUSEWORK HOURS WIFE.69
V483,HRS.HSWK HUSBND,HOUSEWORK HOURS HEAD.69
V514,LABOR INC HEAD,LABOR INCOME HEAD.69
V516,LABOR INC WIFE,LABOR INCOME WIFE.69
V537,STATE NOW,STATE.69
V550,# CHILDRN IN FU,CHILDREN COUNT.69
V593,OWN OR RENT?,RENT/OWN STATUS.69
V603,MOVED SINCE SPRNG68,MOVED SINCE LAST YEAR.69
V607,MARITAL STATUS,MARITAL STATUS.69
V609_A,OCCUPATION OF WIFE         69,OCCUPATION WIFE.69
V609_B,INDUSTRY   OF WIFE         69,INDUSTRY WIFE.69
V640_A,OCCUPATION OF HEAD         69,OCCUPATION HEAD.69
V640_B,INDUSTRY   OF HEAD         69,INDUSTRY HEAD.69
V709,ALIMONY BKT,HOUSEHOLD ALIMONY BRACKET.69
V745,HEALTH LIM HSEWRK,DISABILITY LIMITING WORK.69
V794,EDUCATION OF HEAD,EDUCATION HEAD.69
V795,OTHR TRAINING HEAD,OTHER TRAINING HEAD.69
V801,RACE,RACE.69
V826,LEISURE COMP 68,LEISURE HOURS.69
V878,GEOGRAPHCL MOBILITY,MOBILITY.69
V895,HOUSEWORK H+W,HOUSEHOLD HOUSEWORK HOURS.69
V909,SPLITOFF INDICATOR,SPLIT OFF INDICATOR.69
V1008,AGE OF HEAD,AGE HEAD.69
V1010,SEX OF HEAD,SEX HEAD.69
V1011,AGE OF WIFE,AGE WIFE.69
V1014,1969 FAMILY WEIGHT,FAMILY WEIGHT.69
ER30020,1969 INTERVIEW NUMBER,INTERVIEW NUMBER.69
ER30021,SEQUENCE NUMBER                       69,SEQUENCE NUMBER.69
ER30022,RELATIONSHIP TO HEAD                  69,RELATION TO HEAD.69
ER30023,AGE OF INDIVIDUAL                     69,AGE.69
ER30024,MARR PAIRS INDICATOR                  69,MARITAL PAIRS INDICATORS.69
ER30027,YEAR MOVED IN/OUT                     69,YEAR MOVED IN/OUT.69
ER30029,HRS/WK HOUSEWRK                       69,HOUSEWORK HOURS.69
ER30030,DISABLED OR RQ CARE                   69,HAS DISABILITY.69
ER30038,YR S/O FAM FORMED                     69,YEAR SPLIT OFF OCCURED.69
ER30039,MAIN FAM ID FOR S/O                   69,MAIN SPLITOFF FAMILY NUMBER.69
ER30042,INDIVIDUAL WEIGHT                     69,INDIVIDUAL WEIGHT.69
V1101,RELEASE NUMBER,RELEASE NUMBER.70
V1102,1970 INT #,FAMILY NUMBER.70
V1103,STATE NOW,STATE.70
V1106,COVERSHEET COLOR,SPLIT OFF INDICATOR.70
V1122,HOUSE VALUE,HOUSE VALUE.70
V1128,ANNUAL RENT,ANNUAL RENT PAYMENT.70
V1130,ANNUAL RENT VAL,ANNUAL RENT VALUE.70
V1138,HRS HEAD WORKED,ANNUAL HOURS WORKED HEAD.70
V1148,HRS WIFE WORKED,ANNUAL HOURS WORKED WIFE.70
V1154,HRS HSWRK 1ST,HOUSEWORK HOURS WIFE.70
V1156,HRS HSWRK HUSBND,HOUSEWORK HOURS HEAD.70
V1196,LABOR INC HEAD,LABOR INCOME HEAD.70
V1198,LABOR INC WIFE,LABOR INCOME WIFE.70
V1215,"ALIMONY,CHLD SPT",HOUSEHOLD ALIMONY.70
V1239,AGE OF HEAD,AGE HEAD.70
V1240,SEX OF HEAD,SEX HEAD.70
V1241,AGE OF WIFE,AGE WIFE.70
V1242,# CHILDREN IN FU,CHILDREN COUNT.70
V1264,OWN OR RENT?,RENT/OWN STATUS.70
V1274,MOVED SINCE SPRING,MOVED SINCE LAST YEAR.70
V1279_A,OCCUPATION OF HEAD         70,OCCUPATION HEAD.70
V1279_B,INDUSTRY   OF HEAD         70,INDUSTRY HEAD.70
V1365,MARITAL STATUS,MARITAL STATUS.70
V1367_A,OCCUPATION OF WIFE         70,OCCUPATION WIFE.70
V1367_B,INDUSTRY   OF WIFE         70,INDUSTRY WIFE.70
V1411,HEALTH LIM HSEWRK,DISABILITY LIMITING WORK.70
V1485,EDUCATION OF HEAD,EDUCATION HEAD.70
V1486,OTHR TRAINING HEAD,OTHER TRAINING HEAD.70
V1490,RACE,RACE.70
V1513,LEISURE COMP 68,LEISURE HOURS.70
V1525,BKT ALMNY CHLD SUP,HOUSEHOLD ALIMONY BRACKET.70
V1576,GEOGRAPHIC MOBILITY,MOBILITY.70
V1592,HOUSEWORK H+W,HOUSEHOLD HOUSEWORK HOURS.70
V1609,WEIGHT,FAMILY WEIGHT.70
ER30043,1970 INTERVIEW NUMBER,INTERVIEW NUMBER.70
ER30044,SEQUENCE NUMBER                       70,SEQUENCE NUMBER.70
ER30045,RELATIONSHIP TO HEAD                  70,RELATION TO HEAD.70
ER30046,AGE OF INDIVIDUAL                     70,AGE.70
ER30047,MARR PAIRS INDICATOR                  70,MARITAL PAIRS INDICATORS.70
ER30050,YEAR MOVED IN/OUT                     70,YEAR MOVED IN/OUT.70
ER30053,HRS/WK HOUSEWK                        70,HOUSEWORK HOURS.70
ER30054,DISABLED OR RQ CARE                   70,HAS DISABILITY.70
ER30062,YR S/O FAM FORMED                     70,YEAR SPLIT OFF OCCURED.70
ER30063,MAIN FAM ID FOR S/O                   70,MAIN SPLITOFF FAMILY NUMBER.70
ER30066,INDIVIDUAL WEIGHT                     70,INDIVIDUAL WEIGHT.70
V1801,RELEASE NUMBER,RELEASE NUMBER.71
V1802,71 ID NO.,FAMILY NUMBER.71
V1803,STATE NOW,STATE.71
V1806,COVERSHEET COLOR,SPLIT OFF INDICATOR.71
V1823,HOUSE VALUE,HOUSE VALUE.71
V1829,ANNUAL RENT,ANNUAL RENT PAYMENT.71
V1831,ANNUAL RENT VAL,ANNUAL RENT VALUE.71
V1839,HRS HEAD WORKED,ANNUAL HOURS WORKED HEAD.71
V1849,HRS WIFE WORKED,ANNUAL HOURS WORKED WIFE.71
V1855,HRS HSWRK 1ST,HOUSEWORK HOURS WIFE.71
V1857,HRS HSWRK HUSBND,HOUSEWORK HOURS HEAD.71
V1897,LABOR INC HEAD,LABOR INCOME HEAD.71
V1899,LABOR INC WIFE,LABOR INCOME WIFE.71
V1917,"ALIMONY,CHLD SPT",HOUSEHOLD ALIMONY.71
V1942,AGE OF HEAD,AGE HEAD.71
V1943,SEX OF HEAD,SEX HEAD.71
V1944,AGE OF WIFE,AGE WIFE.71
V1945,# CHILDREN IN FU,CHILDREN COUNT.71
V1967,OWN OR RENT?,RENT/OWN STATUS.71
V1979,MOVED SINCE SPRING,MOVED SINCE LAST YEAR.71
V1984_A,OCCUPATION OF HEAD         71,OCCUPATION HEAD.71
V1985_A,INDUSTRY   OF HEAD         71,INDUSTRY HEAD.71
V2072,MARITAL STATUS,MARITAL STATUS.71
V2074_A,OCCUPATION OF WIFE         71,OCCUPATION WIFE.71
V2075_A,INDUSTRY   OF WIFE         71,INDUSTRY WIFE.71
V2123,HEALTH LIMIT HSWRK,DISABILITY LIMITING WORK.71
V2197,EDUCATION OF HEAD,EDUCATION HEAD.71
V2198,OTHR TRAINING HEAD,OTHER TRAINING HEAD.71
V2202,RACE,RACE.71
V2225,LEISURE COMP 68,LEISURE HOURS.71
V2237,BKT ALMNY CHLD SUP,HOUSEHOLD ALIMONY BRACKET.71
V2288,GEOGRAPHIC MOBILITY,MOBILITY.71
V2304,HOUSEWORK H+W,HOUSEHOLD HOUSEWORK HOURS.71
V2321,WEIGHT,FAMILY WEIGHT.71
ER30067,1971 INTERVIEW NUMBER,INTERVIEW NUMBER.71
ER30068,SEQUENCE NUMBER                       71,SEQUENCE NUMBER.71
ER30069,RELATIONSHIP TO HEAD                  71,RELATION TO HEAD.71
ER30070,AGE OF INDIVIDUAL                     71,AGE.71
ER30071,MARR PAIRS INDICATOR                  71,MARITAL PAIRS INDICATORS.71
ER30074,YEAR MOVED IN/OUT                     71,YEAR MOVED IN/OUT.71
ER30077,HRS/WK HSWK                           71,HOUSEWORK HOURS.71
ER30078,DISABLED OR REQ CR                    71,HAS DISABILITY.71
ER30086,YR S/O FAM FORMED                     71,YEAR SPLIT OFF OCCURED.71
ER30087,MAIN FAM ID FOR S/O                   71,MAIN SPLITOFF FAMILY NUMBER.71
ER30090,INDIVIDUAL WEIGHT                     71,INDIVIDUAL WEIGHT.71
V2401,RELEASE NUMBER,RELEASE NUMBER.72
V2402,1972 INT #,FAMILY NUMBER.72
V2403,STATE NOW,STATE.72
V2407,COVERSHEET COLOR,SPLIT OFF INDICATOR.72
V2423,HOUSE VALUE,HOUSE VALUE.72
V2429,ANNUAL RENT,ANNUAL RENT PAYMENT.72
V2431,ANNUAL RENT VAL,ANNUAL RENT VALUE.72
V2439,HRS HEAD WORKED,ANNUAL HOURS WORKED HEAD.72
V2449,HRS WIFE WORKED,ANNUAL HOURS WORKED WIFE.72
V2455,HRS HSWK 1ST,HOUSEWORK HOURS WIFE.72
V2457,HRS HSWK HUSBAND,HOUSEWORK HOURS HEAD.72
V2498,LABOR INC HEAD,LABOR INCOME HEAD.72
V2500,LABOR INC WIFE,LABOR INCOME WIFE.72
V2518,"ALIMONY,CHLD SPT",HOUSEHOLD ALIMONY.72
V2542,AGE OF HEAD,AGE HEAD.72
V2543,SEX OF HEAD,SEX HEAD.72
V2544,AGE OF WIFE,AGE WIFE.72
V2545,# CHILDREN IN FU,CHILDREN COUNT.72
V2566,OWN OR RENT?,RENT/OWN STATUS.72
V2577,MOVED SINCE SPRING,MOVED SINCE LAST YEAR.72
V2582_A,OCCUPATION OF HEAD         72,OCCUPATION HEAD.72
V2583_A,INDUSTRY   OF HEAD         72,INDUSTRY HEAD.72
V2670,MARITAL STATUS,MARITAL STATUS.72
V2672_A,OCCUPATION OF WIFE         72,OCCUPATION WIFE.72
V2673_A,INDUSTRY   OF WIFE         72,INDUSTRY WIFE.72
V2687,EDUCATION-WIFE,EDUCATION WIFE.72
V2718,DISAB LIM KIND WRK,DISABILITY LIMITING WORK.72
V2823,EDUCATION OF HEAD,EDUCATION HEAD.72
V2824,OTHR TRAINING HEAD,OTHER TRAINING HEAD.72
V2828,RACE,RACE.72
V2851,LEISURE COMP 68,LEISURE HOURS.72
V2863,BKT ALMNY CHLD SUP,HOUSEHOLD ALIMONY BRACKET.72
V2915,GEOGRAPHIC MOBILTY,MOBILITY.72
V2931,HOUSEWORK H+W,HOUSEHOLD HOUSEWORK HOURS.72
V2968,1972 WEIGHT,FAMILY WEIGHT.72
ER30091,1972 INTERVIEW NUMBER,INTERVIEW NUMBER.72
ER30092,SEQUENCE NUMBER                       72,SEQUENCE NUMBER.72
ER30093,RELATIONSHIP TO HEAD                  72,RELATION TO HEAD.72
ER30094,AGE OF INDIVIDUAL                     72,AGE.72
ER30095,MARR PAIRS INDICATOR                  72,MARITAL PAIRS INDICATORS.72
ER30098,YEAR MOVED IN/OUT                     72,YEAR MOVED IN/OUT.72
ER30102,HRS/WK HSWRK                          72,HOUSEWORK HOURS.72
ER30103,DISABLED OR REQ CR                    72,HAS DISABILITY.72
ER30112,YR S/O FAM FORMED                     72,YEAR SPLIT OFF OCCURED.72
ER30113,MAIN FAM ID FOR S/O                   72,MAIN SPLITOFF FAMILY NUMBER.72
ER30116,INDIVIDUAL WEIGHT                     72,INDIVIDUAL WEIGHT.72
V3001,RELEASE NUMBER,RELEASE NUMBER.73
V3002,1973 INT #,FAMILY NUMBER.73
V3003,STATE NOW,STATE.73
V3007,COVERSHEET COLOR,SPLIT OFF INDICATOR.73
V3021,HOUSE VALUE,HOUSE VALUE.73
V3023,ANNUAL RENT,ANNUAL RENT PAYMENT.73
V3025,ANNUAL RENT VAL,ANNUAL RENT VALUE.73
V3027,HDS ANN WORK HRS,ANNUAL HOURS WORKED HEAD.73
V3035,WF WORK HRS,ANNUAL HOURS WORKED WIFE.73
V3037,HSWRK HRS 1ST,HOUSEWORK HOURS WIFE.73
V3039,HSWRK HRS HUSB,HOUSEWORK HOURS HEAD.73
V3051,HDS TOT LABOR Y,LABOR INCOME HEAD.73
V3053,WFS LABOR INC,LABOR INCOME WIFE.73
V3071,H+W ALIMONY,HOUSEHOLD ALIMONY.73
V3095,AGE OF HEAD,AGE HEAD.73
V3096,SEX OF HEAD,SEX HEAD.73
V3097,AGE OF WIFE,AGE WIFE.73
V3098,# OF KIDS IN FU,CHILDREN COUNT.73
V3108,OWN OR RENT,RENT/OWN STATUS.73
V3110,MOVED SINCE SPRING,MOVED SINCE LAST YEAR.73
V3115_A,OCCUPATION OF HEAD         73,OCCUPATION HEAD.73
V3116_A,INDUSTRY   OF HEAD         73,INDUSTRY HEAD.73
V3181,MARITAL STATUS-HD,MARITAL STATUS.73
V3183_A,OCCUPATION OF WIFE         73,OCCUPATION WIFE.73
V3184_A,INDUSTRY   OF WIFE         73,INDUSTRY WIFE.73
V3216,WIFE EDUCATION,EDUCATION WIFE.73
V3241,EDUCATION-HEAD,EDUCATION HEAD.73
V3242,OTHER TRNG?-HD,OTHER TRAINING HEAD.73
V3244,HLTH LIMIT TYP WRK?,DISABILITY LIMITING WORK.73
V3267,HDS ALIMONY BKT,HOUSEHOLD ALIMONY BRACKET.73
V3283,GEOGRAPH MOBILITY,MOBILITY.73
V3296,HOUSEWORK H+W,HOUSEHOLD HOUSEWORK HOURS.73
V3300,RACE (FROM 1972 INT),RACE.73
V3301,1973 FAMILY WEIGHT,FAMILY WEIGHT.73
ER30117,1973 INTERVIEW NUMBER,INTERVIEW NUMBER.73
ER30118,SEQUENCE NUMBER                       73,SEQUENCE NUMBER.73
ER30119,RELATIONSHIP TO HEAD                  73,RELATION TO HEAD.73
ER30120,AGE OF INDIVIDUAL                     73,AGE.73
ER30121,MARR PAIRS INDICATOR                  73,MARITAL PAIRS INDICATORS.73
ER30124,YEAR MOVED IN/OUT                     73,YEAR MOVED IN/OUT.73
ER30127,HR/WK HOUSEWORK                       73,HOUSEWORK HOURS.73
ER30133,YR S/O FAM FORMED                     73,YEAR SPLIT OFF OCCURED.73
ER30134,MAIN FAM ID FOR S/O                   73,MAIN SPLITOFF FAMILY NUMBER.73
ER30137,INDIVIDUAL WEIGHT                     73,INDIVIDUAL WEIGHT.73
V3401,RELEASE NUMBER,RELEASE NUMBER.74
V3402,1974 ID NUMBER,FAMILY NUMBER.74
V3403,CURRENT STATE,STATE.74
V3407,COLOR COVERSHEET,SPLIT OFF INDICATOR.74
V3417,HOUSE VALUE,HOUSE VALUE.74
V3419,ANNUAL RENT,ANNUAL RENT PAYMENT.74
V3421,ANNUAL RENT VAL,ANNUAL RENT VALUE.74
V3423,ANN WRK HRS-HD,ANNUAL HOURS WORKED HEAD.74
V3431,ANN WRK HRS-WIFE,ANNUAL HOURS WORKED WIFE.74
V3449,ANN HSWK HRS 1ST,HOUSEWORK HOURS WIFE.74
V3451,ANN HSWK HR-HUSB,HOUSEWORK HOURS HEAD.74
V3463,TOT LABOR INC-HD,LABOR INCOME HEAD.74
V3465,TOT LABOR INC-WF,LABOR INCOME WIFE.74
V3483,ANN ALIMONY,HOUSEHOLD ALIMONY.74
V3508,AGE OF HEAD,AGE HEAD.74
V3509,SEX OF HEAD,SEX HEAD.74
V3510,AGE OF WIFE,AGE WIFE.74
V3511,# KIDS IN FU,CHILDREN COUNT.74
V3522,OWN OR RENT,RENT/OWN STATUS.74
V3524,MOVED SINCE SPRING?,MOVED SINCE LAST YEAR.74
V3530_A,OCCUPATION OF HEAD         74,OCCUPATION HEAD.74
V3531_A,INDUSTRY   OF HEAD         74,INDUSTRY HEAD.74
V3598,MARITAL STATUS,MARITAL STATUS.74
V3601_A,OCCUPATION OF WIFE         74,OCCUPATION WIFE.74
V3602_A,INDUSTRY   OF WIFE         74,INDUSTRY WIFE.74
V3611,YRS WKD FULL-WF,YEARS WORKED FULL-TIME SINCE 18 WIFE.74
V3621,YRS WKD FULL-HD,YEARS WORKED FULL-TIME SINCE 18 HEAD.74
V3638,EDUCATION-WIFE,EDUCATION WIFE.74
V3663,EDUCATION-HEAD,EDUCATION HEAD.74
V3664,XTRA TRAINING-HD,OTHER TRAINING HEAD.74
V3666,HLTH LIMIT TYPE WK?,DISABILITY LIMITING WORK.74
V3687,HDS ALIMONY BKT,HOUSEHOLD ALIMONY BRACKET.74
V3703,GEOGRAPH MOBILITY,MOBILITY.74
V3716,HOUSEWORK H+W,HOUSEHOLD HOUSEWORK HOURS.74
V3720,RACE,RACE.74
V3721,1974 FAMILY WEIGHT,FAMILY WEIGHT.74
ER30138,1974 INTERVIEW NUMBER,INTERVIEW NUMBER.74
ER30139,SEQUENCE NUMBER                       74,SEQUENCE NUMBER.74
ER30140,RELATIONSHIP TO HEAD                  74,RELATION TO HEAD.74
ER30141,AGE OF INDIVIDUAL                     74,AGE.74
ER30142,MARR PAIRS INDICATOR                  74,MARITAL PAIRS INDICATORS.74
ER30145,YEAR MOVED IN/OUT                     74,YEAR MOVED IN/OUT.74
ER30148,HRS/WK HOUSEWORK                      74,HOUSEWORK HOURS.74
ER30155,YR S/O FAM FORMED                     74,YEAR SPLIT OFF OCCURED.74
ER30156,MAIN FAM ID FOR S/O                   74,MAIN SPLITOFF FAMILY NUMBER.74
ER30159,INDIVIDUAL WEIGHT                     74,INDIVIDUAL WEIGHT.74
V3801,RELEASE NUMBER,RELEASE NUMBER.75
V3802,1975 INT #,FAMILY NUMBER.75
V3803,STATE NOW,STATE.75
V3807,COVERSHEET COLOR,SPLIT OFF INDICATOR.75
V3817,HOUSE VALUE,HOUSE VALUE.75
V3819,ANNUAL RENT,ANNUAL RENT PAYMENT.75
V3821,ANNUAL RENT VAL,ANNUAL RENT VALUE.75
V3823,HRS HD WORKED,ANNUAL HOURS WORKED HEAD.75
V3831,HRS WIFE WORKED,ANNUAL HOURS WORKED WIFE.75
V3863,HEAD LABOR Y,LABOR INCOME HEAD.75
V3865,WIFE LABOR Y,LABOR INCOME WIFE.75
V3883,HD ALIMONY,HOUSEHOLD ALIMONY.75
V3921,AGE OF HEAD,AGE HEAD.75
V3922,SEX OF HEAD,SEX HEAD.75
V3923,AGE OF WIFE,AGE WIFE.75
V3924,# KIDS IN FU,CHILDREN COUNT.75
V3939,OWN/RENT,RENT/OWN STATUS.75
V3941,WTR MOVED SINCE SPG,MOVED SINCE LAST YEAR.75
V3968_A,OCCUPATION OF HEAD         75,OCCUPATION HEAD.75
V3969_A,INDUSTRY   OF HEAD         75,INDUSTRY HEAD.75
V4053,MARITAL STATUS,MARITAL STATUS.75
V4055_A,OCCUPATION OF WIFE         75,OCCUPATION WIFE.75
V4056_A,INDUSTRY   OF WIFE         75,INDUSTRY WIFE.75
V4094,WTR OTR TRAINING-HD,OTHER TRAINING HEAD.75
V4103,WTR OTR SCHLNG-WF,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.75
V4111,# YRS WF WKD FUL,YEARS WORKED FULL-TIME SINCE 18 WIFE.75
V4142,# YRS WKD FULL-H,YEARS WORKED FULL-TIME SINCE 18 HEAD.75
V4145,WTR BAD HEALTH,DISABILITY LIMITING WORK.75
V4165,HD ALIMONY BKT,HOUSEHOLD ALIMONY BRACKET.75
V4182,GEOGRAPH MOBILITY,MOBILITY.75
V4198,HEAD EDUCATION BKT,EDUCATION HEAD.75
V4199,WIFE EDUCATION BKT,EDUCATION WIFE.75
V4204,RACE,RACE.75
V4207,# CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.75
V4208,# CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.75
V4209,# CHILD AGE 6-13,CHILDREN AGED 6-13 COUNT.75
V4210,# FEMALE AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.75
V4211,# MALE AGE 14-17,MALE CHILDREN AGED 14-17 COUNT.75
V4212,# FEMALE AGE 18-20,FEMALE CHILDREN AGED 18-20 COUNT.75
V4213,# MALE AGE 18-20,MALE CHILDREN AGED 18-20 COUNT.75
V4214,# FEMALE AGE 21-29,FEMALE CHILDREN AGED 21-29 COUNT.75
V4215,# MALE AGE 21-29,MALE CHILDREN AGED 21-29 COUNT.75
V4224,1975 FAMILY WEIGHT,FAMILY WEIGHT.75
ER30160,1975 INTERVIEW NUMBER,INTERVIEW NUMBER.75
ER30161,SEQUENCE NUMBER                       75,SEQUENCE NUMBER.75
ER30162,RELATIONSHIP TO HEAD                  75,RELATION TO HEAD.75
ER30163,AGE OF INDIVIDUAL                     75,AGE.75
ER30164,MARR PAIRS INDICATOR                  75,MARITAL PAIRS INDICATORS.75
ER30167,YEAR MOVED IN/OUT                     75,YEAR MOVED IN/OUT.75
ER30183,YR S/O FAM FORMED                     75,YEAR SPLIT OFF OCCURED.75
ER30184,MAIN FAM ID FOR S/O                   75,MAIN SPLITOFF FAMILY NUMBER.75
ER30187,INDIVIDUAL WEIGHT                     75,INDIVIDUAL WEIGHT.75
V4301,RELEASE NUMBER,RELEASE NUMBER.76
V4302,1976 ID NUMBER,FAMILY NUMBER.76
V4303,STATE NOW,STATE.76
V4307,COLOR OF COVERSHEET,SPLIT OFF INDICATOR.76
V4318,HOUSE VALUE 1976      C4,HOUSE VALUE.76
V4326,ANNUAL RENT          C12,ANNUAL RENT PAYMENT.76
V4330,ANNUAL VALU IF RENT  C16,ANNUAL RENT VALUE.76
V4332,ANN WORK HOURS,ANNUAL HOURS WORKED HEAD.76
V4344,WIFE ANN WORK HRS   G5G6,ANNUAL HOURS WORKED WIFE.76
V4350,ANN HRS HSEWRK HEAD   G7,HOUSEWORK HOURS HEAD.76
V4379,WIFES ANNUAL WAGE    H25,LABOR INCOME WIFE.76
V4398,"HD  ALIM,CHILD SUPP H11I",HOUSEHOLD ALIMONY.76
V4436,AGE OF HEAD,AGE HEAD.76
V4437,SEX OF HEAD,SEX HEAD.76
V4438,AGE OF WIFE,AGE WIFE.76
V4439,# OF CHILDREN FU,CHILDREN COUNT.76
V4450,OWN/RENT/OR WHAT      C3,RENT/OWN STATUS.76
V4452,MOVED SINCE SPRNG 75 C17,MOVED SINCE LAST YEAR.76
V4459_A,OCCUPATION OF HEAD         76,OCCUPATION HEAD.76
V4460_A,INDUSTRY   OF HEAD         76,INDUSTRY HEAD.76
V4603,MARITAL STATUS        G1,MARITAL STATUS.76
V4605_A,OCCUPATION OF WIFE         76,OCCUPATION WIFE.76
V4606_A,INDUSTRY   OF WIFE         76,INDUSTRY WIFE.76
V4625,PHYS OR NERV COND HD H49,DISABILITY LIMITING WORK.76
V4631,# YRS WRK FULL TIME HDJ2,YEARS WORKED FULL-TIME SINCE 18 HEAD.76
V4685,ANY OTHER TRAINING   K26,OTHER TRAINING HEAD.76
V4696,WIFE OTR SCHOOLING    L3,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.76
V4711,ANN HRS HSWRK-WIFE    B1,HOUSEWORK HOURS WIFE.76
V4990,# YRS WKD FULL TIME-W G2,YEARS WORKED FULL-TIME SINCE 18 WIFE.76
V5031,HEAD TOTAL LABOR Y,LABOR INCOME HEAD.76
V5041,HD ALIMONY BKT,HOUSEHOLD ALIMONY BRACKET.76
V5058,GEOGRAPHIC MOBILITY,MOBILITY.76
V5074,HEAD EDUCATION BKT,EDUCATION HEAD.76
V5075,WIFE EDUCATION BKT,EDUCATION WIFE.76
V5079,# CHILDREN 1-2 YRS,CHILDREN AGED 1-2 COUNT.76
V5080,# CHILDREN 3-5 YRS,CHILDREN AGED 3-5 COUNT.76
V5081,# CHILDREN 6-13 YR,CHILDREN AGED 6-13 COUNT.76
V5082,# FEM CHILDS 14-17,FEMALE CHILDREN AGED 14-17 COUNT.76
