Varcode,Variables,NewVarcode
V5083,# MALE CHILD 14-17,MALE CHILDREN AGED 14-17 COUNT.76
V5084,# FEM CHILDS 18-20,FEMALE CHILDREN AGED 18-20 COUNT.76
V5085,# MALE CHILD 18-20,MALE CHILDREN AGED 18-20 COUNT.76
V5086,# FEM CHILDS 21-29,FEMALE CHILDREN AGED 21-29 COUNT.76
V5087,# MALE CHILD 21-29,MALE CHILDREN AGED 21-29 COUNT.76
V5096,RACE,RACE.76
V5099,1976 FAMILY WEIGHT,FAMILY WEIGHT.76
ER30188,1976 INTERVIEW NUMBER,INTERVIEW NUMBER.76
ER30189,SEQUENCE NUMBER                       76,SEQUENCE NUMBER.76
ER30190,RELATIONSHIP TO HEAD                  76,RELATION TO HEAD.76
ER30191,AGE OF INDIVIDUAL                     76,AGE.76
ER30192,MARR PAIRS INDICATOR                  76,MARITAL PAIRS INDICATORS.76
ER30195,YEAR MOVED IN/OUT                     76,YEAR MOVED IN/OUT.76
ER30198,HRS HOUSEWORK/WK                      76,HOUSEWORK HOURS.76
ER30199,EXTRA CARE?                           76,HAS DISABILITY.76
ER30212,YR S/O FAM FORMED                     76,YEAR SPLIT OFF OCCURED.76
ER30213,MAIN FAM ID FOR S/O                   76,MAIN SPLITOFF FAMILY NUMBER.76
ER30216,INDIVIDUAL WEIGHT                     76,INDIVIDUAL WEIGHT.76
V5201,RELEASE NUMBER,RELEASE NUMBER.77
V5202,1977 ID,FAMILY NUMBER.77
V5203,CURRENT STATE 1977,STATE.77
V5207,COLOR OF COVERSHEET  77,SPLIT OFF INDICATOR.77
V5217,1977 HOUSE VALUE (C5),HOUSE VALUE.77
V5225,ANNUAL RENT 1977 (C13),ANNUAL RENT PAYMENT.77
V5229,ANNUAL $  IF RENTED (C19),ANNUAL RENT VALUE.77
V5232,HD ANN WRK HRS IN 76,ANNUAL HOURS WORKED HEAD.77
V5244,WIFE ANN WORK HOURS 1976,ANNUAL HOURS WORKED WIFE.77
V5260,WIFE HSEWORK HRS  (G32),HOUSEWORK HOURS WIFE.77
V5262,HEAD HSEWORK HRS  (G33),HOUSEWORK HOURS HEAD.77
V5289,WIFE 1976 WAGES,LABOR INCOME WIFE.77
V5294,ALIMONY Y HEAD 1976,ALIMONY HEAD.77
V5350,AGE OF HEAD,AGE HEAD.77
V5351,SEX OF HEAD,SEX HEAD.77
V5352,AGE OF WIFE,AGE WIFE.77
V5353,# KIDS IN FU,CHILDREN COUNT.77
V5364,OWN/RENT OR WHAT?     C3,RENT/OWN STATUS.77
V5366,MOVED SINCE SPR 1976?C22,MOVED SINCE LAST YEAR.77
V5374_A,OCCUPATION OF HEAD         77,OCCUPATION HEAD.77
V5375_A,INDUSTRY   OF HEAD         77,INDUSTRY HEAD.77
V5507_A,OCCUPATION OF WIFE         77,OCCUPATION WIFE.77
V5508_A,INDUSTRY   OF WIFE         77,INDUSTRY WIFE.77
V5560,WTR HEALTH LIMIT     H53,DISABILITY LIMITING WORK.77
V5568,WTR OTR SCHLING-WF    J3,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.77
V5575,# YRS WKD FULL TIME-WJ11,YEARS WORKED FULL-TIME SINCE 18 WIFE.77
V5605,# YR WKD FULL TIME-H K26,YEARS WORKED FULL-TIME SINCE 18 HEAD.77
V5609,WTR OTR TRNG-HD      K29,OTHER TRAINING HEAD.77
V5627,TOT 1976 LABOR INCM HEAD,LABOR INCOME HEAD.77
V5637,GEOGRAPHIC MOBILITY,MOBILITY.77
V5647,EDUCATION OF HEAD,EDUCATION HEAD.77
V5648,EDUCATION OF WIFE,EDUCATION WIFE.77
V5650,MARITAL STATUS,MARITAL STATUS.77
V5653,#CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.77
V5654,#CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.77
V5655,#CHILDREN AGE 6-13,CHILDREN AGED 6-13 COUNT.77
V5656,#FEMALE CHLDRN AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.77
V5657,#MALE CHLDRN AGE 14-17,MALE CHILDREN AGED 14-17 COUNT.77
V5658,#FEMALE CHLDRN AGE 18-20,FEMALE CHILDREN AGED 18-20 COUNT.77
V5659,#MALE CHLDRN AGE 18-20,MALE CHILDREN AGED 18-20 COUNT.77
V5660,#FEMALE CHLDRN AGE 21-29,FEMALE CHILDREN AGED 21-29 COUNT.77
V5661,#MALE CHLDRN AGE 21-29,MALE CHILDREN AGED 21-29 COUNT.77
V5662,RACE (FROM 1972 DATA),RACE.77
V5665,1977 FAMILY WEIGHT,FAMILY WEIGHT.77
ER30217,1977 INTERVIEW NUMBER,INTERVIEW NUMBER.77
ER30218,SEQUENCE NUMBER                       77,SEQUENCE NUMBER.77
ER30219,RELATIONSHIP TO HEAD                  77,RELATION TO HEAD.77
ER30220,AGE OF INDIVIDUAL                     77,AGE.77
ER30221,MARR PAIRS INDICATOR                  77,MARITAL PAIRS INDICATORS.77
ER30224,YEAR MOVED IN/OUT                     77,YEAR MOVED IN/OUT.77
ER30227,HRS HOUSEWORK/WK                      77,HOUSEWORK HOURS.77
ER30228,NEEDS EXTRA CARE?                     77,HAS DISABILITY.77
ER30241,YR S/O FAM FORMED                     77,YEAR SPLIT OFF OCCURED.77
ER30242,MAIN FAM ID FOR S/O                   77,MAIN SPLITOFF FAMILY NUMBER.77
ER30245,INDIVIDUAL WEIGHT                     77,INDIVIDUAL WEIGHT.77
V5701,RELEASE NUMBER,RELEASE NUMBER.78
V5702,1978 ID,FAMILY NUMBER.78
V5703,CURRENT STATE 1978,STATE.78
V5707,COLOR OF COVERSHEET 78,SPLIT OFF INDICATOR.78
V5717,1978 HOUSE VALUE (C5),HOUSE VALUE.78
V5723,ANN RENT 1978 (C11),ANNUAL RENT PAYMENT.78
V5727,ANN $  IF RENT (C17),ANNUAL RENT VALUE.78
V5731,HD ANN WRK HRS IN 77,ANNUAL HOURS WORKED HEAD.78
V5743,WF ANN WRK HRS 1977,ANNUAL HOURS WORKED WIFE.78
V5759,WF ANN HSEWRK HRS (G39),HOUSEWORK HOURS WIFE.78
V5761,HD ANN HSEWRK HRS (G40),HOUSEWORK HOURS HEAD.78
V5788,WIFE 1977 WAGE,LABOR INCOME WIFE.78
V5793,ALIMONY Y HEAD 1977,ALIMONY HEAD.78
V5850,AGE OF HEAD,AGE HEAD.78
V5851,SEX OF HEAD,SEX HEAD.78
V5852,AGE OF WIFE,AGE WIFE.78
V5853,# KIDS IN FU,CHILDREN COUNT.78
V5864,C3 OWN/RENT OR WHAT,RENT/OWN STATUS.78
V5866,C20 MOVE SINCE SPR 1977,MOVED SINCE LAST YEAR.78
V5873_A,OCCUPATION OF HEAD         78,OCCUPATION HEAD.78
V5874_A,INDUSTRY   OF HEAD         78,INDUSTRY HEAD.78
V6039_A,OCCUPATION OF WIFE         78,OCCUPATION WIFE.78
V6040_A,INDUSTRY   OF WIFE         78,INDUSTRY WIFE.78
V6102,H65 WTR HEALTH LMT-HD,DISABILITY LIMITING WORK.78
V6117,J3 WTR OTR SCHLING-WF,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.78
V6124,J11 #YRS WRKD FULTIME-WF,YEARS WORKED FULL-TIME SINCE 18 WIFE.78
V6154,K26 # YR WRD FULTIME-HD,YEARS WORKED FULL-TIME SINCE 18 HEAD.78
V6158,K29 WTR OTR TRNG-HD,OTHER TRAINING HEAD.78
V6174,TOT 1977 HEAD LABOR Y,LABOR INCOME HEAD.78
V6184,GEOGRAPHIC MOBILITY,MOBILITY.78
V6194,EDUCATION 1978 HEAD,EDUCATION HEAD.78
V6195,EDUCATION 1978 WIFE,EDUCATION WIFE.78
V6197,MARITAL STATUS,MARITAL STATUS.78
V6200,#CHILDS AGE 1-2,CHILDREN AGED 1-2 COUNT.78
V6201,#CHILDS AGE 3-5,CHILDREN AGED 3-5 COUNT.78
V6202,#CHILDS AGE 6-13,CHILDREN AGED 6-13 COUNT.78
V6203,#FEM CHILDS 14-17,FEMALE CHILDREN AGED 14-17 COUNT.78
V6204,#MALE CHILDS 14-17,MALE CHILDREN AGED 14-17 COUNT.78
V6205,#FEM CHILDS 18-20,FEMALE CHILDREN AGED 18-20 COUNT.78
V6206,#MALE CHILDS 18-20,MALE CHILDREN AGED 18-20 COUNT.78
V6207,#FEM CHILDS 21-29,FEMALE CHILDREN AGED 21-29 COUNT.78
V6208,#MALE CHILDS 21-29,MALE CHILDREN AGED 21-29 COUNT.78
V6209,RACE (FROM 1972),RACE.78
V6212,78 UPDATED FAM WEIGHT,FAMILY WEIGHT.78
ER30246,1978 INTERVIEW NUMBER,INTERVIEW NUMBER.78
ER30247,SEQUENCE NUMBER                       78,SEQUENCE NUMBER.78
ER30248,RELATIONSHIP TO HEAD                  78,RELATION TO HEAD.78
ER30249,AGE OF INDIVIDUAL                     78,AGE.78
ER30250,MARR PAIRS INDICATOR                  78,MARITAL PAIRS INDICATORS.78
ER30253,YEAR MOVED IN/OUT                     78,YEAR MOVED IN/OUT.78
ER30256,HRS HOUSEWORK/WK                      78,HOUSEWORK HOURS.78
ER30259,WHETHER HEALTH LIMIT                  78,HAS DISABILITY.78
ER30278,YR S/O FAM FORMED                     78,YEAR SPLIT OFF OCCURED.78
ER30279,MAIN FAM ID FOR S/O                   78,MAIN SPLITOFF FAMILY NUMBER.78
ER30282,INDIVIDUAL WEIGHT                     78,INDIVIDUAL WEIGHT.78
V6301,RELEASE NUMBER,RELEASE NUMBER.79
V6302,1979 ID,FAMILY NUMBER.79
V6303,CURRENT STATE,STATE.79
V6307,COLOR OF COVERSHEET 79,SPLIT OFF INDICATOR.79
V6319,1979 HOUSE VALUE (B5),HOUSE VALUE.79
V6326,ANN RENT 1979 (B12),ANNUAL RENT PAYMENT.79
V6330,ANN $  IF RENT (B18),ANNUAL RENT VALUE.79
V6336,HD ANN WRK HRS IN 78,ANNUAL HOURS WORKED HEAD.79
V6348,WF ANN WRK HRS IN 78,ANNUAL HOURS WORKED WIFE.79
V6365,WF ANN HSEWRK HRS (J5),HOUSEWORK HOURS WIFE.79
V6367,HD ANN HSEWRK HRS (J6),HOUSEWORK HOURS HEAD.79
V6398,WIFE 1978 LABOR/WAGE,LABOR INCOME WIFE.79
V6405,ALIMONY Y HEAD 1978,ALIMONY HEAD.79
V6462,AGE OF HEAD,AGE HEAD.79
V6463,SEX OF HEAD,SEX HEAD.79
V6464,AGE OF WIFE,AGE WIFE.79
V6465,# CHILDREN IN FU,CHILDREN COUNT.79
V6479,B3 OWN/RENT OR WHAT,RENT/OWN STATUS.79
V6484,B21 MOVE SINCE SPR 1978,MOVED SINCE LAST YEAR.79
V6497_A,OCCUPATION OF HEAD         79,OCCUPATION HEAD.79
V6498_A,INDUSTRY   OF HEAD         79,INDUSTRY HEAD.79
V6596_A,OCCUPATION OF WIFE         79,OCCUPATION WIFE.79
V6597_A,INDUSTRY   OF WIFE         79,INDUSTRY WIFE.79
V6710,K78 WTR HEALTH LMT-HD,DISABILITY LIMITING WORK.79
V6714,L3 WTR OTR SCHLING-WF,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.79
V6721,L11 #YRS WRKD FULLTIME-WF,YEARS WORKED FULL-TIME SINCE 18 WIFE.79
V6751,M26 # YR WRK FULLTIME-HD,YEARS WORKED FULL-TIME SINCE 18 HEAD.79
V6755,M29 WTR OTR TRNG-HD,OTHER TRAINING HEAD.79
V6767,TOT 1978 HEAD LABOR Y,LABOR INCOME HEAD.79
V6777,GEOGRAPHIC MOBILITY,MOBILITY.79
V6787,EDUCATION 1979 HEAD,EDUCATION HEAD.79
V6788,EDUCATION 1979 WIFE,EDUCATION WIFE.79
V6790,MARITAL STATUS,MARITAL STATUS.79
V6793,#CHILDS AGE 1-2,CHILDREN AGED 1-2 COUNT.79
V6794,#CHILDS AGE 3-5,CHILDREN AGED 3-5 COUNT.79
V6795,#CHILDS AGE 6-13,CHILDREN AGED 6-13 COUNT.79
V6796,#FEM CHILDS 14-17,FEMALE CHILDREN AGED 14-17 COUNT.79
V6797,#MALE CHILDS 14-17,MALE CHILDREN AGED 14-17 COUNT.79
V6798,#FEM CHILDS 18-20,FEMALE CHILDREN AGED 18-20 COUNT.79
V6799,#MALE CHILDS 18-20,MALE CHILDREN AGED 18-20 COUNT.79
V6800,#FEM CHILDS 21-29,FEMALE CHILDREN AGED 21-29 COUNT.79
V6801,#MALE CHILDS 21-29,MALE CHILDREN AGED 21-29 COUNT.79
V6802,RACE (FROM 1972),RACE.79
V6805,79 FAMILY WEIGHT,FAMILY WEIGHT.79
ER30283,1979 INTERVIEW NUMBER,INTERVIEW NUMBER.79
ER30284,SEQUENCE NUMBER                       79,SEQUENCE NUMBER.79
ER30285,RELATIONSHIP TO HEAD                  79,RELATION TO HEAD.79
ER30286,AGE OF INDIVIDUAL                     79,AGE.79
ER30287,MARR PAIRS INDICATOR                  79,MARITAL PAIRS INDICATORS.79
ER30290,YEAR MOVED IN/OUT                     79,YEAR MOVED IN/OUT.79
ER30291,HRS HSWRK                             79,HOUSEWORK HOURS.79
ER30308,YR S/O FAM FORMED                     79,YEAR SPLIT OFF OCCURED.79
ER30309,MAIN FAM ID FOR S/O                   79,MAIN SPLITOFF FAMILY NUMBER.79
ER30312,INDIVIDUAL WEIGHT                     79,INDIVIDUAL WEIGHT.79
V6901,RELEASE NUMBER,RELEASE NUMBER.80
V6902,1980 INTERVIEW NUMBER,FAMILY NUMBER.80
V6903,CURRENT STATE,STATE.80
V6907,COLOR COVERSHEET 1980,SPLIT OFF INDICATOR.80
V6917,1980 HOUSE VALUE (B7),HOUSE VALUE.80
V6925,ANN RENT 1980 (B14),ANNUAL RENT PAYMENT.80
V6929,ANN $  IF RENT (B20),ANNUAL RENT VALUE.80
V6934,HD ANN WRK HRS IN 79,ANNUAL HOURS WORKED HEAD.80
V6946,WF ANN WRK HRS IN 79,ANNUAL HOURS WORKED WIFE.80
V6963,WF ANN HSEWRK HRS (J5),HOUSEWORK HOURS WIFE.80
V6965,HD ANN HSEWRK HRS (J6),HOUSEWORK HOURS HEAD.80
V6988,WIFE 1979 LABOR/WAGE,LABOR INCOME WIFE.80
V6995,ALIMONY Y HEAD 1979,ALIMONY HEAD.80
V7067,AGE OF HEAD,AGE HEAD.80
V7068,SEX OF HEAD,SEX HEAD.80
V7069,AGE OF WIFE,AGE WIFE.80
V7070,# CHILDREN IN FU,CHILDREN COUNT.80
V7084,B5 OWN/RENT OR WHAT,RENT/OWN STATUS.80
V7089,B23 MOVE SINCE SPR 1979,MOVED SINCE LAST YEAR.80
V7100_A,OCCUPATION OF HEAD         80,OCCUPATION HEAD.80
V7101_A,INDUSTRY   OF HEAD         80,INDUSTRY HEAD.80
V7198_A,OCCUPATION OF WIFE         80,OCCUPATION WIFE.80
V7199_A,INDUSTRY   OF WIFE         80,INDUSTRY WIFE.80
V7343,K112 WTR HEALTH LMT-HD,DISABILITY LIMITING WORK.80
V7347,L3 WTR OTR SCHLING-WF,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.80
V7354,L11 #YRS WRKD FULTME-WF,YEARS WORKED FULL-TIME SINCE 18 WIFE.80
V7384,M26 #YR WRK FULLTIME-HD,YEARS WORKED FULL-TIME SINCE 18 HEAD.80
V7388,M29 WTR OTR TRNG-HD,OTHER TRAINING HEAD.80
V7413,TOT HD LABOR $ Y 79,LABOR INCOME HEAD.80
V7423,GEOGRAPHIC MOBILITY,MOBILITY.80
V7433,EDUCATION 1980 HEAD,EDUCATION HEAD.80
V7434,EDUCATION 1980 WIFE,EDUCATION WIFE.80
V7435,MARITAL STATUS 1980,MARITAL STATUS.80
V7438,#CHILDS AGE 1-2,CHILDREN AGED 1-2 COUNT.80
V7439,#CHILDS AGE 3-5,CHILDREN AGED 3-5 COUNT.80
V7440,#CHILDS AGE 6-13,CHILDREN AGED 6-13 COUNT.80
V7441,#FEM CHILDS 14-17,FEMALE CHILDREN AGED 14-17 COUNT.80
V7442,#MALE CHILDS 14-17,MALE CHILDREN AGED 14-17 COUNT.80
V7443,#FEM CHILDS 18-20,FEMALE CHILDREN AGED 18-20 COUNT.80
V7444,#MALE CHILDS 18-20,MALE CHILDREN AGED 18-20 COUNT.80
V7445,#FEM CHILDS 21-29,FEMALE CHILDREN AGED 21-29 COUNT.80
V7446,#MALE CHILDS 21-29,MALE CHILDREN AGED 21-29 COUNT.80
V7447,RACE (FROM 1972),RACE.80
V7451,1980 FAMILY WEIGHT,FAMILY WEIGHT.80
ER30313,1980 INTERVIEW NUMBER,INTERVIEW NUMBER.80
ER30314,SEQUENCE NUMBER                       80,SEQUENCE NUMBER.80
ER30315,RELATIONSHIP TO HEAD                  80,RELATION TO HEAD.80
ER30316,AGE OF INDIVIDUAL                     80,AGE.80
ER30317,MARR PAIRS INDICATOR                  80,MARITAL PAIRS INDICATORS.80
ER30320,YEAR MOVED IN/OUT                     80,YEAR MOVED IN/OUT.80
ER30321,HR/WEEK HOUSEWORK                     80,HOUSEWORK HOURS.80
ER30338,YR S/O FAM FORMED                     80,YEAR SPLIT OFF OCCURED.80
ER30339,MAIN FAM ID FOR S/O                   80,MAIN SPLITOFF FAMILY NUMBER.80
ER30342,INDIVIDUAL WEIGHT                     80,INDIVIDUAL WEIGHT.80
V7501,RELEASE NUMBER,RELEASE NUMBER.81
V7502,1981 INTERVIEW NUMBER,FAMILY NUMBER.81
V7503,CURRENT STATE,STATE.81
V7507,COLOR COVERSHEET-1981,SPLIT OFF INDICATOR.81
V7517,1981 HOUSE VALUE (B7),HOUSE VALUE.81
V7525,ANN RENT-1981 (B14),ANNUAL RENT PAYMENT.81
V7527,ANN VALUE IF RENTED/B17,ANNUAL RENT VALUE.81
V7530,HD ANN WRK HRS IN 1980,ANNUAL HOURS WORKED HEAD.81
V7540,WF ANN WRK HRS IN 1980,ANNUAL HOURS WORKED WIFE.81
V7555,WF ANN HSEWRK HRS (J5),HOUSEWORK HOURS WIFE.81
V7557,HD ANN HSEWRK HRS (J6),HOUSEWORK HOURS HEAD.81
V7580,WIFE 1980 LABOR/WAGE,LABOR INCOME WIFE.81
V7587,ALIMONY Y HEAD 1980,ALIMONY HEAD.81
V7658,AGE OF 1981 HEAD,AGE HEAD.81
V7659,SEX OF 1981 HEAD,SEX HEAD.81
V7660,AGE OF 1981 WIFE,AGE WIFE.81
V7661,# CHILDREN IN FU,CHILDREN COUNT.81
V7675,B5 OWN/RENT OR WHAT,RENT/OWN STATUS.81
V7700,B34 MOVD SINCE SPR 1980?,MOVED SINCE LAST YEAR.81
V7712,C7-8 MAIN OCC:3DIG(H-E),OCCUPATION HEAD.81
V7713,C9 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.81
V7885,F8-9 OCCUPATION  (WF-E),OCCUPATION WIFE.81
V7886,F10 INDUSTRY     (WF-E),INDUSTRY WIFE.81
V7974,K57 WTR PHYS-NERV PROB-H,DISABILITY LIMITING WORK.81
V7999,L3 WTR OTR SCHOOLING -WF,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.81
V8006,L11 #YRS WRKD FULLTIME-W,YEARS WORKED FULL-TIME SINCE 18 WIFE.81
V8036,M26 #YRS WRKD FULLTIME-H,YEARS WORKED FULL-TIME SINCE 18 HEAD.81
V8040,M29 WTR OTR TRAINING-HD,OTHER TRAINING HEAD.81
V8066,TOT HD LABOR $ $  Y 80,LABOR INCOME HEAD.81
V8075,GEOGRAPHIC MOBILITY,MOBILITY.81
V8085,EDUCATION 1981 HEAD,EDUCATION HEAD.81
V8086,EDUCATION 1981 WIFE,EDUCATION WIFE.81
V8087,MARITAL STATUS 1981,MARITAL STATUS.81
V8090,# CHILDS AGE 1-2,CHILDREN AGED 1-2 COUNT.81
V8091,# CHILDS AGE 3-5,CHILDREN AGED 3-5 COUNT.81
V8092,# CHILDS AGE 6-13,CHILDREN AGED 6-13 COUNT.81
V8093,# FEM CHILDS 14-17,FEMALE CHILDREN AGED 14-17 COUNT.81
V8094,# MALE CHILDS 14-17,MALE CHILDREN AGED 14-17 COUNT.81
V8095,# FEM CHILDS 18-20,FEMALE CHILDREN AGED 18-20 COUNT.81
V8096,# MALE CHILDS 18-20,MALE CHILDREN AGED 18-20 COUNT.81
V8097,# FEM CHILDS 21-29,FEMALE CHILDREN AGED 21-29 COUNT.81
V8098,# MALE CHILDS 21-29,MALE CHILDREN AGED 21-29 COUNT.81
V8099,RACE (FROM 1972),RACE.81
V8103,1981 FAMILY WEIGHT,FAMILY WEIGHT.81
ER30343,1981 INTERVIEW NUMBER,INTERVIEW NUMBER.81
ER30344,SEQUENCE NUMBER                       81,SEQUENCE NUMBER.81
ER30345,RELATIONSHIP TO HEAD                  81,RELATION TO HEAD.81
ER30346,AGE OF INDIVIDUAL                     81,AGE.81
ER30347,MARR PAIRS INDICATOR                  81,MARITAL PAIRS INDICATORS.81
ER30350,YEAR MOVED IN/OUT                     81,YEAR MOVED IN/OUT.81
ER30351,HR/WEEK ON HOUSEWRK                   81,HOUSEWORK HOURS.81
ER30368,YEAR S/O FAM FORMED                   81,YEAR SPLIT OFF OCCURED.81
ER30369,MAIN FAM ID FOR S/O                   81,MAIN SPLITOFF FAMILY NUMBER.81
ER30372,INDIVIDUAL WEIGHT                     81,INDIVIDUAL WEIGHT.81
V8201,RELEASE NUMBER,RELEASE NUMBER.82
V8202,1982 INTERVIEW NUMBER,FAMILY NUMBER.82
V8203,CURRENT STATE,STATE.82
V8207,COLOR COVERSHEET-1982,SPLIT OFF INDICATOR.82
V8217,1982 HOUSE VALUE (B6),HOUSE VALUE.82
V8221,ANN RENT-1982 (B9),ANNUAL RENT PAYMENT.82
V8223,ANN VALUE IF RENTED/B14,ANNUAL RENT VALUE.82
V8228,HD ANN WRK HRS IN 1981,ANNUAL HOURS WORKED HEAD.82
V8238,WF ANN WRK HRS IN 1981,ANNUAL HOURS WORKED WIFE.82
V8273,WIFE 1981 LABOR/WAGE,LABOR INCOME WIFE.82
V8280,ALIMONY Y HEAD 1981,ALIMONY HEAD.82
V8352,AGE OF 1982 HEAD,AGE HEAD.82
V8353,SEX OF 1982 HEAD,SEX HEAD.82
V8354,AGE OF 1982 WIFE,AGE WIFE.82
V8355,# CHILDREN IN FU,CHILDREN COUNT.82
V8364,B5 OWN/RENT OR WHAT,RENT/OWN STATUS.82
V8369,B17 MOVD SINCE SPR 1981?,MOVED SINCE LAST YEAR.82
V8380,C7-8 MAIN OCC:3DIG(H-E),OCCUPATION HEAD.82
V8381,C9 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.82
V8544,F8/9 OCCUPATION  (WF-E),OCCUPATION WIFE.82
V8545,INDUSTRY     (WF-E),INDUSTRY WIFE.82
V8616,K63 WTR PHYS-NERV PROB-H,DISABILITY LIMITING WORK.82
V8623,L3 WTR OTR SCHOOLING -WF,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.82
V8630,L11 #YRS WRKD FULLTIME-W,YEARS WORKED FULL-TIME SINCE 18 WIFE.82
V8660,M26 #YRS WRKD FULLTIME-H,YEARS WORKED FULL-TIME SINCE 18 HEAD.82
V8664,M29 WTR OTR TRAINING-HD,OTHER TRAINING HEAD.82
V8690,TOT HD LABOR $ $  Y 81,LABOR INCOME HEAD.82
V8699,GEOGRAPHIC MOBILITY,MOBILITY.82
V8709,EDUCATION 1982 HEAD,EDUCATION HEAD.82
V8710,EDUCATION 1982 WIFE,EDUCATION WIFE.82
V8711,MARITAL STATUS 1982,MARITAL STATUS.82
V8714,# CHILDS AGE 1-2,CHILDREN AGED 1-2 COUNT.82
V8715,# CHILDS AGE 3-5,CHILDREN AGED 3-5 COUNT.82
V8716,# CHILDS AGE 6-13,CHILDREN AGED 6-13 COUNT.82
V8717,# FEM CHILDS 14-17,FEMALE CHILDREN AGED 14-17 COUNT.82
V8718,# MALE CHILDS 14-17,MALE CHILDREN AGED 14-17 COUNT.82
V8719,# FEM CHILDS 18-20,FEMALE CHILDREN AGED 18-20 COUNT.82
V8720,# MALE CHILDS 18-20,MALE CHILDREN AGED 18-20 COUNT.82
V8721,# FEM CHILDS 21-29,FEMALE CHILDREN AGED 21-29 COUNT.82
V8722,# MALE CHILDS 21-29,MALE CHILDREN AGED 21-29 COUNT.82
V8723,RACE (FROM 1972),RACE.82
V8727,1982 FAMILY WEIGHT,FAMILY WEIGHT.82
ER30373,1982 INTERVIEW NUMBER,INTERVIEW NUMBER.82
ER30374,SEQUENCE NUMBER                       82,SEQUENCE NUMBER.82
ER30375,RELATIONSHIP TO HEAD                  82,RELATION TO HEAD.82
ER30376,AGE OF INDIVIDUAL                     82,AGE.82
ER30377,MARR PAIRS INDICATOR                  82,MARITAL PAIRS INDICATORS.82
ER30380,YEAR MOVED IN/OUT                     82,YEAR MOVED IN/OUT.82
ER30394,YEAR S/O FAM FORMED                   82,YEAR SPLIT OFF OCCURED.82
ER30395,MAIN FAM ID FOR S/O                   82,MAIN SPLITOFF FAMILY NUMBER.82
ER30398,INDIVIDUAL WEIGHT                     82,INDIVIDUAL WEIGHT.82
V8801,RELEASE NUMBER,RELEASE NUMBER.83
V8802,1983 INTERVIEW NUMBER,FAMILY NUMBER.83
V8803,CURRENT STATE,STATE.83
V8807,COLOR COVERSHEET-1983,SPLIT OFF INDICATOR.83
V8817,1983 HOUSE VALUE (B7),HOUSE VALUE.83
V8825,ANN RENT-1983 (B14),ANNUAL RENT PAYMENT.83
V8827,ANN VALUE IF RENTED/B17,ANNUAL RENT VALUE.83
V8830,HD ANN WRK HRS IN 1982,ANNUAL HOURS WORKED HEAD.83
V8840,WF ANN WRK HRS IN 1982,ANNUAL HOURS WORKED WIFE.83
V8855,WIFE ANN HSEWRK (J5),HOUSEWORK HOURS WIFE.83
V8857,HEAD ANN HSEWRK (J6),HOUSEWORK HOURS HEAD.83
V8881,WIFE 1982 LABOR/WAGE,LABOR INCOME WIFE.83
V8888,ALIMONY Y HEAD 1982,ALIMONY HEAD.83
V8961,AGE OF 1983 HEAD,AGE HEAD.83
V8962,SEX OF 1983 HEAD,SEX HEAD.83
V8963,AGE OF 1983 WIFE,AGE WIFE.83
V8964,# CHILDREN IN FU,CHILDREN COUNT.83
V8974,B6 OWN/RENT OR WHAT,RENT/OWN STATUS.83
V8999,B34 MOVD SINCE SPR 1982?,MOVED SINCE LAST YEAR.83
V9011,C7-8 MAIN OCC:3DIG(H-E),OCCUPATION HEAD.83
V9012,C9 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.83
