Varcode,Variables,NewVarcode
V9194,F8-9 OCCUPATION  (WF-E),OCCUPATION WIFE.83
V9195,F10 INDUSTRY     (WF-E),INDUSTRY WIFE.83
V9290,K56 WTR PHYS-NERV PROB-H,DISABILITY LIMITING WORK.83
V9309,L3 WTR OTR SCHOOLING -WF,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.83
V9316,L11 #YRS WRKD FULLTIME-W,YEARS WORKED FULL-TIME SINCE 18 WIFE.83
V9346,M26 #YRS WRKD FULLTIME-H,YEARS WORKED FULL-TIME SINCE 18 HEAD.83
V9350,M29 WTR OTR TRAINING-HD,OTHER TRAINING HEAD.83
V9376,TOTAL HEAD LABOR Y 82,LABOR INCOME HEAD.83
V9385,GEOGRAPHIC MOBILITY,MOBILITY.83
V9395,EDUCATION 1983 HEAD,EDUCATION HEAD.83
V9396,EDUCATION 1983 WIFE,EDUCATION WIFE.83
V9399,# CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.83
V9400,# CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.83
V9401,# CHILDREN AGE 6-13,CHILDREN AGED 6-13 COUNT.83
V9402,# FEM CHILDREN AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.83
V9403,# MALE CHILDREN 14-17,MALE CHILDREN AGED 14-17 COUNT.83
V9404,# FEM CHILDREN 18-20,FEMALE CHILDREN AGED 18-20 COUNT.83
V9405,# MALE CHILDREN 18-20,MALE CHILDREN AGED 18-20 COUNT.83
V9406,# FEM CHILDREN 21-29,FEMALE CHILDREN AGED 21-29 COUNT.83
V9407,# MALE CHILDREN 21-29,MALE CHILDREN AGED 21-29 COUNT.83
V9408,RACE (FROM 1972),RACE.83
V9419,MARITAL STATUS 1983,MARITAL STATUS.83
V9433,1983 FAMILY WEIGHT,FAMILY WEIGHT.83
ER30399,1983 INTERVIEW NUMBER,INTERVIEW NUMBER.83
ER30400,SEQUENCE NUMBER                       83,SEQUENCE NUMBER.83
ER30401,RELATIONSHIP TO HEAD                  83,RELATION TO HEAD.83
ER30402,AGE OF INDIVIDUAL                     83,AGE.83
ER30405,MARR PAIRS INDICATOR                  83,MARITAL PAIRS INDICATORS.83
ER30408,YEAR MOVED IN/OUT                     83,YEAR MOVED IN/OUT.83
ER30409,WEEKLY HOUSEWORK                      83,HOUSEWORK HOURS.83
ER30423,YEAR S/O FAM FORMED                   83,YEAR SPLIT OFF OCCURED.83
ER30424,MAIN FAM ID FOR S/O                   83,MAIN SPLITOFF FAMILY NUMBER.83
ER30428,INDIVIDUAL WEIGHT                     83,INDIVIDUAL WEIGHT.83
V10001,RELEASE NUMBER,RELEASE NUMBER.84
V10002,1984 INTERVIEW NUMBER,FAMILY NUMBER.84
V10003,CURRENT STATE-1984,STATE.84
V10007,SPLITOFF INDICATOR 1984,SPLIT OFF INDICATOR.84
V10018,1984 HOUSE VALUE (B7),HOUSE VALUE.84
V10026,ANN RENT 1984 (B17),ANNUAL RENT PAYMENT.84
V10028,ANN VALUE IF RENTED(B23),ANNUAL RENT VALUE.84
V10037,HD ANN WRK HRS-1983,ANNUAL HOURS WORKED HEAD.84
V10131,WF ANN WRK HRS-1983,ANNUAL HOURS WORKED WIFE.84
V10226,WIFE ANN HSEWRK (J2),HOUSEWORK HOURS WIFE.84
V10228,HEAD ANN HSEWRK (J3),HOUSEWORK HOURS HEAD.84
V10263,WIFE 1983 LABOR/Y,LABOR INCOME WIFE.84
V10274,ALIMONY Y HEAD 1983,ALIMONY HEAD.84
V10419,AGE OF 1984 HEAD,AGE HEAD.84
V10420,SEX OF 1984 HEAD,SEX HEAD.84
V10421,AGE OF 1984 WIFE,AGE WIFE.84
V10422,# CHILDREN IN FU,CHILDREN COUNT.84
V10437,B6 OWN/RENT OR WHAT,RENT/OWN STATUS.84
V10447,B27 MOVD SINCE SPR 1983?,MOVED SINCE LAST YEAR.84
V10460,C8-9 MAIN OCC:3DIGT(H-E),OCCUPATION HEAD.84
V10461,C10 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.84
V10678,OCCUPATION  (WF-E),OCCUPATION WIFE.84
V10679,F11 INDUSTRY     (WF-E),INDUSTRY WIFE.84
V10879,K93 WTR PHYS-NERV PROB-H,DISABILITY LIMITING WORK.84
V10956,L3 WTR OTR SCHOOLING -WF,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.84
V10963,L11 #YRS WRKD FULLTIME-W,YEARS WORKED FULL-TIME SINCE 18 WIFE.84
V10993,M26 #YRS WRKD FULLTIME-H,YEARS WORKED FULL-TIME SINCE 18 HEAD.84
V10997,M29 WTR OTR TRAINING-HD,OTHER TRAINING HEAD.84
V11023,TOTAL HEAD LABOR Y 83,LABOR INCOME HEAD.84
V11032,GEOGRAPHIC MOBILITY,MOBILITY.84
V11042,EDUCATION 1984 HEAD,EDUCATION HEAD.84
V11043,EDUCATION 1984 WIFE,EDUCATION WIFE.84
V11046,# CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.84
V11047,# CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.84
V11048,# CHILDREN AGE 6-13,CHILDREN AGED 6-13 COUNT.84
V11049,# FEM CHILDREN AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.84
V11050,# MALE CHILDREN 14-17,MALE CHILDREN AGED 14-17 COUNT.84
V11051,# FEM CHILDREN 18-20,FEMALE CHILDREN AGED 18-20 COUNT.84
V11052,# MALE CHILDREN 18-20,MALE CHILDREN AGED 18-20 COUNT.84
V11053,# FEM CHILDREN 21-29,FEMALE CHILDREN AGED 21-29 COUNT.84
V11054,# MALE CHILDREN 21-29,MALE CHILDREN AGED 21-29 COUNT.84
V11055,RACE (FROM 1972),RACE.84
V11065,MARITAL STATUS 1984,MARITAL STATUS.84
V11079,1984 FAMILY WEIGHT,FAMILY WEIGHT.84
ER30429,1984 INTERVIEW NUMBER,INTERVIEW NUMBER.84
ER30430,SEQUENCE NUMBER                       84,SEQUENCE NUMBER.84
ER30431,RELATIONSHIP TO HEAD                  84,RELATION TO HEAD.84
ER30432,AGE OF INDIVIDUAL                     84,AGE.84
ER30435,MARR PAIRS INDICATOR                  84,MARITAL PAIRS INDICATORS.84
ER30438,YEAR MOVED IN/OUT                     84,YEAR MOVED IN/OUT.84
ER30439,WEEKLY HOUSEWORK                      84,HOUSEWORK HOURS.84
ER30457,YEAR S/O FAM FORMED                   84,YEAR SPLIT OFF OCCURED.84
ER30458,MAIN FAM ID FOR S/O                   84,MAIN SPLITOFF FAMILY NUMBER.84
ER30462,INDIVIDUAL WEIGHT                     84,INDIVIDUAL WEIGHT.84
V11101,RELEASE NUMBER,RELEASE NUMBER.85
V11102,1985 INTERVIEW NUMBER,FAMILY NUMBER.85
V11103,CURRENT STATE,STATE.85
V11107,SPLITOFF INDICATOR    85,SPLIT OFF INDICATOR.85
V11125,1985 HOUSE VALUE   (A10),HOUSE VALUE.85
V11133,ANN RENT 1985      (A20),ANNUAL RENT PAYMENT.85
V11135,ANN VALUE IF RENTED(A26),ANNUAL RENT VALUE.85
V11146,HD ANN WRK HRS IN 84,ANNUAL HOURS WORKED HEAD.85
V11258,WF ANN WRK HRS IN 84,ANNUAL HOURS WORKED WIFE.85
V11366,WIFE ANN HOUSEWORK  (P1),HOUSEWORK HOURS WIFE.85
V11368,HEAD ANN HOUSEWORK  (H1),HOUSEWORK HOURS HEAD.85
V11404,WIFE 84 LABOR/WAGE,LABOR INCOME WIFE.85
V11416,ALIMONY Y HEAD 84,ALIMONY HEAD.85
V11606,AGE OF 1985 HEAD,AGE HEAD.85
V11607,SEX OF 1985 HEAD,SEX HEAD.85
V11608,AGE OF 1985 WIFE,AGE WIFE.85
V11609,# CHILDREN IN FU,CHILDREN COUNT.85
V11618,A9 OWN/RENT OR WHAT,RENT/OWN STATUS.85
V11628,A29 MOVD SINCE SPG 84?,MOVED SINCE LAST YEAR.85
V11651,OCC:3 DIG H-E,OCCUPATION HEAD.85
V11652,B17 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.85
V11740,B111 YR WRKD FL TIME H-E,YEARS WORKED FULL-TIME SINCE 18 HEAD.85
V11938,G32 RACE OF HEAD (1 MEN),RACE.85
V11964,G51 WTR REC OTR DEG/CERT,OTHER TRAINING HEAD.85
V11993,H29 WTR PHYS/NERV PROB-H,DISABILITY LIMITING WORK.85
V12014,OCC:3 DIG W-E ,OCCUPATION WIFE.85
V12015,J17 MAIN IND:3 DIGT(W-E),INDUSTRY WIFE.85
V12103,J111 YR WRKD FL TIME W-E,YEARS WORKED FULL-TIME SINCE 18 WIFE.85
V12319,N51 WTR REC OTR DEG/CERT,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.85
V12372,TOTAL HEAD LABOR Y 84,LABOR INCOME HEAD.85
V12386,HEAD GEOGRAPHIC MOBILITY,MOBILITY.85
V12400,EDUCATION 1985 HEAD,EDUCATION HEAD.85
V12401,EDUCATION 1985 WIFE,EDUCATION WIFE.85
V12404,# CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.85
V12405,# CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.85
V12406,# CHILDREN AGE 6-13,CHILDREN AGED 6-13 COUNT.85
V12407,# FEM CHILDREN AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.85
V12408,# MALE CHILDREN 14-17,MALE CHILDREN AGED 14-17 COUNT.85
V12409,# FEM CHILDREN 18-20,FEMALE CHILDREN AGED 18-20 COUNT.85
V12410,# MALE CHILDREN 18-20,MALE CHILDREN AGED 18-20 COUNT.85
V12411,# FEM CHILDREN 21-29,FEMALE CHILDREN AGED 21-29 COUNT.85
V12412,# MALE CHILDREN 21-29,MALE CHILDREN AGED 21-29 COUNT.85
V12426,MARITAL STATUS 1985,MARITAL STATUS.85
V12446,1985 FAMILY WEIGHT,FAMILY WEIGHT.85
ER30463,1985 INTERVIEW NUMBER,INTERVIEW NUMBER.85
ER30464,SEQUENCE NUMBER                       85,SEQUENCE NUMBER.85
ER30465,RELATIONSHIP TO HEAD                  85,RELATION TO HEAD.85
ER30466,AGE OF INDIVIDUAL                     85,AGE.85
ER30469,MARR PAIRS INDICATOR                  85,MARITAL PAIRS INDICATORS.85
ER30472,YEAR MOVED IN/OUT                     85,YEAR MOVED IN/OUT.85
ER30473,WEEKLY HOUSEWORK                      85,HOUSEWORK HOURS.85
ER30492,YEAR S/O FAM FORMED                   85,YEAR SPLIT OFF OCCURED.85
ER30493,MAIN FAM ID FOR S/O                   85,MAIN SPLITOFF FAMILY NUMBER.85
ER30497,INDIVIDUAL WEIGHT                     85,INDIVIDUAL WEIGHT.85
V12501,RELEASE NUMBER,RELEASE NUMBER.86
V12502,1986 INTERVIEW NUMBER,FAMILY NUMBER.86
V12503,CURRENT STATE,STATE.86
V12507,SPLITOFF INDICATOR    86,SPLIT OFF INDICATOR.86
V12524,1986 HOUSE VALUE   (A10),HOUSE VALUE.86
V12532,ANN RENT 1986      (A20),ANNUAL RENT PAYMENT.86
V12534,ANN VALUE IF RENTED(A26),ANNUAL RENT VALUE.86
V12545,HD ANN WRK HRS IN 85,ANNUAL HOURS WORKED HEAD.86
V12657,WF ANN WRK HRS IN 85,ANNUAL HOURS WORKED WIFE.86
V12765,WIFE ANN HOUSEWORK  (P1),HOUSEWORK HOURS WIFE.86
V12767,HEAD ANN HOUSEWORK  (H1),HOUSEWORK HOURS HEAD.86
V12803,WIFE 85 LABOR/WAGE,LABOR INCOME WIFE.86
V12815,ALIMONY Y HEAD 85,ALIMONY HEAD.86
V13011,AGE OF 1986 HEAD,AGE HEAD.86
V13012,SEX OF 1986 HEAD,SEX HEAD.86
V13013,AGE OF 1986 WIFE,AGE WIFE.86
V13014,# CHILDREN IN FU,CHILDREN COUNT.86
V13023,A9 OWN/RENT OR WHAT,RENT/OWN STATUS.86
V13037,A33 MOVD SINCE SPG 85?,MOVED SINCE LAST YEAR.86
V13054,B9-10 MAIN OCC:3 DIG H-E,OCCUPATION HEAD.86
V13055,B11 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.86
V13233,D9-10 MAIN OCC:3 DIG W-E,OCCUPATION WIFE.86
V13234,D11 MAIN IND:3 DIGT(W-E),INDUSTRY WIFE.86
V13427,H11 LIMIT TYPE/AMT WRK H,DISABILITY LIMITING WORK.86
V13516,K36 WTR REC OTR DEG/CERT,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.86
V13532,K45 #YR WRKD FULL-TIME W,YEARS WORKED FULL-TIME SINCE 18 WIFE.86
V13565,L32 RACE OF HEAD 1,RACE.86
V13587,L49 WTR REC OTR DEG/CERT,OTHER TRAINING HEAD.86
V13606,L58 #YR WRKD FULL-TIME H,YEARS WORKED FULL-TIME SINCE 18 HEAD.86
V13624,TOTAL HEAD LABOR Y 85,LABOR INCOME HEAD.86
V13636,HEAD GEOGRAPHIC MOBILITY,MOBILITY.86
V13640,EDUCATION 1986 HEAD,EDUCATION HEAD.86
V13641,EDUCATION 1986 WIFE,EDUCATION WIFE.86
V13644,# CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.86
V13645,# CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.86
V13646,# CHILDREN AGE 6-13,CHILDREN AGED 6-13 COUNT.86
V13647,# FEM CHILDREN AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.86
V13648,# MALE CHILDREN 14-17,MALE CHILDREN AGED 14-17 COUNT.86
V13649,# FEM CHILDREN 18-20,FEMALE CHILDREN AGED 18-20 COUNT.86
V13650,# MALE CHILDREN 18-20,MALE CHILDREN AGED 18-20 COUNT.86
V13651,# FEM CHILDREN 21-29,FEMALE CHILDREN AGED 21-29 COUNT.86
V13652,# MALE CHILDREN 21-29,MALE CHILDREN AGED 21-29 COUNT.86
V13665,MARITAL STATUS 1986,MARITAL STATUS.86
V13687,1986 FAMILY WEIGHT,FAMILY WEIGHT.86
ER30498,1986 INTERVIEW NUMBER,INTERVIEW NUMBER.86
ER30499,SEQUENCE NUMBER                       86,SEQUENCE NUMBER.86
ER30500,RELATIONSHIP TO HEAD                  86,RELATION TO HEAD.86
ER30501,AGE OF INDIVIDUAL                     86,AGE.86
ER30504,MARR PAIRS INDICATOR                  86,MARITAL PAIRS INDICATORS.86
ER30507,YEAR MOVED IN/OUT                     86,YEAR MOVED IN/OUT.86
ER30508,WEEKLY HOUSEWORK                      86,HOUSEWORK HOURS.86
ER30529,YEAR S/O FAM FORMED                   86,YEAR SPLIT OFF OCCURED.86
ER30530,MAIN FAM ID FOR S/O                   86,MAIN SPLITOFF FAMILY NUMBER.86
ER30534,INDIVIDUAL WEIGHT                     86,INDIVIDUAL WEIGHT.86
V13701,RELEASE NUMBER,RELEASE NUMBER.87
V13702,1987 INTERVIEW NUMBER,FAMILY NUMBER.87
V13703,CURRENT STATE,STATE.87
V13707,SPLITOFF INDICATOR    87,SPLIT OFF INDICATOR.87
V13724,1987 HOUSE VALUE   (A10),HOUSE VALUE.87
V13732,ANN RENT 1987      (A20),ANNUAL RENT PAYMENT.87
V13734,ANN VALUE IF RENTED(A28),ANNUAL RENT VALUE.87
V13745,HD ANN WRK HRS IN 86,ANNUAL HOURS WORKED HEAD.87
V13809,WF ANN WRK HRS IN 86,ANNUAL HOURS WORKED WIFE.87
V13869,WIFE ANN HOUSEWORK  (F2),HOUSEWORK HOURS WIFE.87
V13871,HEAD ANN HOUSEWORK  (F3),HOUSEWORK HOURS HEAD.87
V13905,WIFE 86 LABOR/WAGE,LABOR INCOME WIFE.87
V13917,ALIMONY Y HEAD 86,ALIMONY HEAD.87
V14114,AGE OF 1987 HEAD,AGE HEAD.87
V14115,SEX OF 1987 HEAD,SEX HEAD.87
V14116,AGE OF 1987 WIFE,AGE WIFE.87
V14117,# CHILDREN IN FU,CHILDREN COUNT.87
V14126,A9 OWN/RENT OR WHAT,RENT/OWN STATUS.87
V14140,A33 MOVED SINCE SPG 86?,MOVED SINCE LAST YEAR.87
V14154,B9-10 MAIN OCC:3 DIG H-E,OCCUPATION HEAD.87
V14155,B11 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.87
V14329,D9-10 MAIN OCC:3 DIG W-E,OCCUPATION WIFE.87
V14330,D11 MAIN IND:3 DIGT(W-E),INDUSTRY WIFE.87
V14515,H3 LIMIT TYPE/AMT WRK  H,DISABILITY LIMITING WORK.87
V14563,K36 WTR REC OTR DEG/CERT,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.87
V14579,K45 #YR WRKD FULL-TIME W,YEARS WORKED FULL-TIME SINCE 18 WIFE.87
V14612,L32 RACE OF HEAD 1,RACE.87
V14634,L49 WTR REC OTR DEG/CERT,OTHER TRAINING HEAD.87
V14653,L58 #YR WRKD FULL-TIME H,YEARS WORKED FULL-TIME SINCE 18 HEAD.87
V14671,TOTAL HEAD LABOR Y 86,LABOR INCOME HEAD.87
V14683,HEAD GEOGRAPHIC MOBILITY,MOBILITY.87
V14687,EDUCATION 1987 HEAD,EDUCATION HEAD.87
V14688,EDUCATION 1987 WIFE,EDUCATION WIFE.87
V14691,# CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.87
V14692,# CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.87
V14693,# CHILDREN AGE 6-13,CHILDREN AGED 6-13 COUNT.87
V14694,# FEM CHILDREN AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.87
V14695,# MALE CHILDREN 14-17,MALE CHILDREN AGED 14-17 COUNT.87
V14696,# FEM CHILDREN 18-20,FEMALE CHILDREN AGED 18-20 COUNT.87
V14697,# MALE CHILDREN 18-20,MALE CHILDREN AGED 18-20 COUNT.87
V14698,# FEM CHILDREN 21-29,FEMALE CHILDREN AGED 21-29 COUNT.87
V14699,# MALE CHILDREN 21-29,MALE CHILDREN AGED 21-29 COUNT.87
V14712,MARITAL STATUS 1987,MARITAL STATUS.87
V14737,1987 FAMILY WEIGHT,FAMILY WEIGHT.87
ER30535,1987 INTERVIEW NUMBER,INTERVIEW NUMBER.87
ER30536,SEQUENCE NUMBER                       87,SEQUENCE NUMBER.87
ER30537,RELATIONSHIP TO HEAD                  87,RELATION TO HEAD.87
ER30538,AGE OF INDIVIDUAL                     87,AGE.87
ER30541,MARR PAIRS INDICATOR                  87,MARITAL PAIRS INDICATORS.87
ER30544,YEAR MOVED IN/OUT                     87,YEAR MOVED IN/OUT.87
ER30564,YEAR S/O FAM FORMED                   87,YEAR SPLIT OFF OCCURED.87
ER30565,MAIN FAM ID FOR S/O                   87,MAIN SPLITOFF FAMILY NUMBER.87
ER30569,INDIVIDUAL WEIGHT                     87,INDIVIDUAL WEIGHT.87
V14801,RELEASE NUMBER,RELEASE NUMBER.88
V14802,1988 INTERVIEW NUMBER,FAMILY NUMBER.88
V14803,CURRENT STATE,STATE.88
V14807,SPLITOFF INDICATOR    88,SPLIT OFF INDICATOR.88
V14824,1988 HOUSE VALUE   (A9),HOUSE VALUE.88
V14835,HD ANN WRK HRS IN 87,ANNUAL HOURS WORKED HEAD.88
V14865,WF ANN WRK HRS IN 87,ANNUAL HOURS WORKED WIFE.88
V14891,WIFE ANN HOUSEWORK  (F2),HOUSEWORK HOURS WIFE.88
V14893,HEAD ANN HOUSEWORK  (F3),HOUSEWORK HOURS HEAD.88
V14920,WIFE 87 LABOR/WAGE,LABOR INCOME WIFE.88
V14932,ALIMONY Y HEAD 87,ALIMONY HEAD.88
V15130,AGE OF 1988 HEAD,AGE HEAD.88
V15131,SEX OF 1988 HEAD,SEX HEAD.88
V15132,AGE OF 1988 WIFE,AGE WIFE.88
V15133,# CHILDREN IN FU,CHILDREN COUNT.88
V15140,A8 OWN/RENT OR WHAT,RENT/OWN STATUS.88
V15148,A18 MOVED SINCE SPG 87?,MOVED SINCE LAST YEAR.88
V15162,B9-10 MAIN OCC:3 DIG H-E,OCCUPATION HEAD.88
V15163,B11 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.88
V15464,D9-10 MAIN OCC:3 DIG W-E,OCCUPATION WIFE.88
V15465,D11 MAIN IND:3 DIGT(W-E),INDUSTRY WIFE.88
V15994,H2 LIMIT TYPE/AMT WRK  H,DISABILITY LIMITING WORK.88
V16037,K36 WTR REC OTR DEG/CERT,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.88
V16053,K45 #YR WRKD FULL-TIME W,YEARS WORKED FULL-TIME SINCE 18 WIFE.88
V16086,L32 RACE OF HEAD 1,RACE.88
V16108,L49 WTR REC OTR DEG/CERT,OTHER TRAINING HEAD.88
V16127,L58 #YR WRKD FULL-TIME H,YEARS WORKED FULL-TIME SINCE 18 HEAD.88
V16145,TOTAL HEAD LABOR Y 87,LABOR INCOME HEAD.88
V16157,HEAD GEOGRAPHIC MOBILITY,MOBILITY.88
V16161,EDUCATION 1988 HEAD,EDUCATION HEAD.88
V16162,EDUCATION 1988 WIFE,EDUCATION WIFE.88
V16165,# CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.88
V16166,# CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.88
V16167,# CHILDREN AGE 6-13,CHILDREN AGED 6-13 COUNT.88
V16168,# FEM CHILDREN AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.88
V16169,# MALE CHILDREN 14-17,MALE CHILDREN AGED 14-17 COUNT.88
V16170,# FEM CHILDREN 18-20,FEMALE CHILDREN AGED 18-20 COUNT.88
V16171,# MALE CHILDREN 18-20,MALE CHILDREN AGED 18-20 COUNT.88
V16172,# FEM CHILDREN 21-29,FEMALE CHILDREN AGED 21-29 COUNT.88
V16173,# MALE CHILDREN 21-29,MALE CHILDREN AGED 21-29 COUNT.88
V16187,MARITAL STATUS 1988,MARITAL STATUS.88
V16208,1988 FAMILY WEIGHT,FAMILY WEIGHT.88
ER30570,1988 INTERVIEW NUMBER,INTERVIEW NUMBER.88
ER30571,SEQUENCE NUMBER                       88,SEQUENCE NUMBER.88
ER30572,RELATION TO HEAD                      88,RELATION TO HEAD.88
ER30573,AGE OF INDIVIDUAL                     88,AGE.88
ER30576,MARITAL INDICATOR-IND                 88,MARITAL PAIRS INDICATORS.88
ER30579,YEAR MOVED IN/OUT                     88,YEAR MOVED IN/OUT.88
ER30600,YEAR S/O FAM FORMED                   88,YEAR SPLIT OFF OCCURED.88
ER30601,MAIN FAM ID FOR S/O                   88,MAIN SPLITOFF FAMILY NUMBER.88
ER30605,INDIVIDUAL WEIGHT                     88,INDIVIDUAL WEIGHT.88
V16301,RELEASE NUMBER,RELEASE NUMBER.89
V16302,1989 INTERVIEW NUMBER,FAMILY NUMBER.89
V16303,CURRENT STATE,STATE.89
V16307,SPLITOFF INDICATOR    89,SPLIT OFF INDICATOR.89
V16324,1989 HOUSE VALUE   (A9),HOUSE VALUE.89
V16335,HD ANN WRK HRS IN 88,ANNUAL HOURS WORKED HEAD.89
V16365,WF ANN WRK HRS IN 88,ANNUAL HOURS WORKED WIFE.89
V16391,WIFE ANN HOUSEWORK  (F2),HOUSEWORK HOURS WIFE.89
V16393,HEAD ANN HOUSEWORK  (F3),HOUSEWORK HOURS HEAD.89
V16420,WIFE 88 LABOR/WAGE,LABOR INCOME WIFE.89
V16432,ALIMONY Y HEAD 88,ALIMONY HEAD.89
V16631,AGE OF 1989 HEAD,AGE HEAD.89
V16632,SEX OF 1989 HEAD,SEX HEAD.89
V16633,AGE OF 1989 WIFE,AGE WIFE.89
V16634,# CHILDREN IN FU,CHILDREN COUNT.89
V16641,A8 OWN/RENT OR WHAT,RENT/OWN STATUS.89
V16649,A18 MOVED SINCE SPG 88?,MOVED SINCE LAST YEAR.89
V16663,B9-10 MAIN OCC:3 DIG H-E,OCCUPATION HEAD.89
V16664,B11 MAIN IND:3 DIGT(H-E),INDUSTRY HEAD.89
V16982,D9-10 MAIN OCC:3 DIG W-E,OCCUPATION WIFE.89
V16983,D11 MAIN IND:3 DIGT(W-E),INDUSTRY WIFE.89
V17391,H2 LIMIT TYPE/AMT WRK  H,DISABILITY LIMITING WORK.89
V17434,K36 WTR REC OTR DEG/CERT,ADDITIONAL EDUCATIONAL TRAINING SPOUSE.89
V17450,K45 #YR WRKD FULL-TIME W,YEARS WORKED FULL-TIME SINCE 18 WIFE.89
V17483,L32 RACE OF HEAD 1,RACE.89
V17505,L49 WTR REC OTR DEG/CERT,OTHER TRAINING HEAD.89
V17524,L58 #YR WRKD FULL-TIME H,YEARS WORKED FULL-TIME SINCE 18 HEAD.89
V17534,TOTAL HEAD LABOR Y 88,LABOR INCOME HEAD.89
V17543,HEAD GEOGRAPHIC MOBILITY,MOBILITY.89
V17545,EDUCATION 1989 HEAD,EDUCATION HEAD.89
V17546,EDUCATION 1989 WIFE,EDUCATION WIFE.89
V17547,# CHILDREN AGE 1-2,CHILDREN AGED 1-2 COUNT.89
V17548,# CHILDREN AGE 3-5,CHILDREN AGED 3-5 COUNT.89
V17549,# CHILDREN AGE 6-13,CHILDREN AGED 6-13 COUNT.89
V17550,# FEM CHILDREN AGE 14-17,FEMALE CHILDREN AGED 14-17 COUNT.89
V17551,# MALE CHILDREN 14-17,MALE CHILDREN AGED 14-17 COUNT.89
V17552,# FEM CHILDREN 18-20,FEMALE CHILDREN AGED 18-20 COUNT.89
V17553,# MALE CHILDREN 18-20,MALE CHILDREN AGED 18-20 COUNT.89
V17554,# FEM CHILDREN 21-29,FEMALE CHILDREN AGED 21-29 COUNT.89
V17555,# MALE CHILDREN 21-29,MALE CHILDREN AGED 21-29 COUNT.89
V17565,MARITAL STATUS 1989,MARITAL STATUS.89
V17612,1989 FAMILY WEIGHT,FAMILY WEIGHT.89
ER30606,1989 INTERVIEW NUMBER,INTERVIEW NUMBER.89
ER30607,SEQUENCE NUMBER                       89,SEQUENCE NUMBER.89
ER30608,RELATION TO HEAD                      89,RELATION TO HEAD.89
ER30609,AGE OF INDIVIDUAL                     89,AGE.89
ER30612,MARITAL INDICATOR-IND                 89,MARITAL PAIRS INDICATORS.89
ER30615,YEAR MOVED IN/OUT                     89,YEAR MOVED IN/OUT.89
ER30636,YEAR S/O FAM FORMED                   89,YEAR SPLIT OFF OCCURED.89
ER30637,MAIN FAM ID FOR S/O                   89,MAIN SPLITOFF FAMILY NUMBER.89
ER30641,INDIVIDUAL WEIGHT                     89,INDIVIDUAL WEIGHT.89
person,"",person
